lat,lon,Rainfall intensity
100.3166667,14.3,3403
100.3333333,14.13333333,13
100.4,14.45,4807
100.4166667,14.33333333,6966
100.5,14.2,1459
100.5333333,14.35,4299
100.5333333,14.45,1606
100.5833333,14.36666667,160
100.6,14.38333333,4080
100.6166667,14.21666667,201
100.6166667,14.46666667,5570
100.7166667,14.51666667,168
